Time - Force	Amplitude - Force
0,727773	-0,357558
0,728379	-0,354076
0,728984	-0,327384
0,72959	-0,338409
0,730195	-0,337539
0,730801	-0,34015
0,731406	-0,347983
0,732012	-0,343341
0,732617	-0,3416
0,733223	-0,345662
0,733828	-0,346243
0,734434	-0,331446
0,735039	-0,330575
0,735645	-0,335798
0,73625	-0,34102
0,736855	-0,322161
0,737461	-0,345662
0,738066	-0,323322
0,738672	-0,309395
0,739277	-0,321001
0,739883	-0,320711
0,740488	-0,32013
0,741094	-0,336088
0,741699	-0,321581
0,742305	-0,323902
0,74291	-0,317229
0,743516	-0,336088
0,744121	-0,323902
0,744727	-0,329125
0,745332	-0,315778
0,745938	-0,307945
0,746543	-0,31955
